instance,optic-status,optic-quality,aries-optic-status,aries-optic-quality,lpg-status,lpg-quality,aries-lpg-status,aries-lpg-quality,aries-status,aries-quality
openstacks:13,SOLVED,114.07,SOLVED,114.07,SOLVED,370.26,SOLVED,102.09,SOLVED,102.09
openstacks:14,SOLVED,102.17,SOLVED,102.02,SOLVED,154.07,SOLVED,102.02,SOLVED,102.02
openstacks:15,SOLVED,104.09,SOLVED,104.09,SOLVED,300.2,SOLVED,102.02,SOLVED,102.02
openstacks:16,SOLVED,92.16,SOLVED,92.04,SOLVED,302.27,SOLVED,92.04,SOLVED,166.11
openstacks:17,SOLVED,114.15,SOLVED,124.17,SOLVED,338.24,SOLVED,102.03,SOLVED,166.09
openstacks:18,SOLVED,104.15,SOLVED,104.15,SOLVED,432.3,SOLVED,102.06,SOLVED,266.12
openstacks:19,SOLVED,144.08,SOLVED,144.08,SOLVED,382.33,SOLVED,102.09,SOLVED,188.17
openstacks:2,SOLVED,114.07,SOLVED,114.05,SOLVED,278.11,SOLVED,114.05,SOLVED,114.05
openstacks:20,SOLVED,134.08,SOLVED,134.08,SOLVED,494.28,SOLVED,102.06,SOLVED,482.22
openstacks:21,SOLVED,102.22,SOLVED,102.22,SOLVED,556.4,SOLVED,102.07,SOLVED,608.34
openstacks:22,SOLVED,102.22,SOLVED,102.22,SOLVED,290.34,SOLVED,102.06,SOLVED,658.39
openstacks:23,SOLVED,104.29,SOLVED,104.29,SOLVED,466.42,SOLVED,102.03,SOLVED,836.44
openstacks:24,SOLVED,104.24,SOLVED,134.29,SOLVED,648.42,SOLVED,102.07,TIMEOUT,
openstacks:25,SOLVED,144.11,SOLVED,144.11,SOLVED,596.37,SOLVED,102.08,TIMEOUT,
openstacks:26,SOLVED,102.23,SOLVED,102.23,SOLVED,584.37,SOLVED,102.03,TIMEOUT,
openstacks:27,SOLVED,102.27,SOLVED,102.27,SOLVED,296.35,SOLVED,102.03,TIMEOUT,
openstacks:28,SOLVED,134.28,SOLVED,134.28,SOLVED,650.51,SOLVED,164.26,TIMEOUT,
openstacks:29,SOLVED,124.09,SOLVED,124.09,SOLVED,342.42,SOLVED,102.31,TIMEOUT,
openstacks:3,SOLVED,82.07,SOLVED,82.06,SOLVED,230.16,SOLVED,82.05,SOLVED,82.04
openstacks:30,SOLVED,114.23,SOLVED,114.23,SOLVED,538.43,SOLVED,176.23,TIMEOUT,
openstacks:4,SOLVED,82.05,SOLVED,114.1,SOLVED,260.17,SOLVED,82.06,SOLVED,82.05
openstacks:5,SOLVED,84.09,SOLVED,84.05,SOLVED,144.06,SOLVED,84.05,SOLVED,84.05
openstacks:6,SOLVED,102.1,SOLVED,102.03,SOLVED,184.09,SOLVED,102.03,SOLVED,102.03
openstacks:7,SOLVED,102.06,SOLVED,102.02,SOLVED,126.16,SOLVED,102.02,SOLVED,102.02
openstacks:8,SOLVED,102.11,SOLVED,124.11,SOLVED,166.11,SOLVED,102.03,SOLVED,102.03
openstacks:9,SOLVED,114.13,SOLVED,92.03,SOLVED,206.12,SOLVED,92.03,SOLVED,92.03
rcpsp:1,SOLVED,59.12,SOLVED,43.1,SOLVED,45.13,SOLVED,43.1,SOLVED,43.1
rcpsp:10,SOLVED,58.13,SOLVED,45.08,SOLVED,46.11,SOLVED,45.08,SOLVED,45.08
rcpsp:11,SOLVED,120.24,SOLVED,77.13,SOLVED,84.19,SOLVED,77.13,SOLVED,77.13
rcpsp:12,SOLVED,167.28,SOLVED,68.12,SOLVED,87.17,SOLVED,68.12,SOLVED,68.12
rcpsp:13,SOLVED,123.28,SOLVED,68.12,SOLVED,72.13,SOLVED,68.12,SOLVED,68.12
rcpsp:14,SOLVED,137.22,SOLVED,91.13,SOLVED,93.16,SOLVED,91.13,SOLVED,91.13
rcpsp:15,SOLVED,131.25,SOLVED,73.14,SOLVED,82.22,SOLVED,73.14,SOLVED,73.14
rcpsp:16,SOLVED,106.25,SOLVED,66.14,SOLVED,71.21,SOLVED,66.14,SOLVED,66.14
rcpsp:17,SOLVED,119.22,SOLVED,72.14,SOLVED,78.22,SOLVED,72.14,SOLVED,72.14
rcpsp:18,SOLVED,139.26,SOLVED,75.13,SOLVED,88.18,SOLVED,75.13,SOLVED,75.13
rcpsp:19,SOLVED,114.2,SOLVED,85.12,SOLVED,95.18,SOLVED,85.12,SOLVED,85.12
rcpsp:2,SOLVED,74.13,SOLVED,47.09,SOLVED,47.09,SOLVED,47.09,SOLVED,47.09
rcpsp:20,SOLVED,113.24,SOLVED,80.15,SOLVED,84.17,SOLVED,80.15,SOLVED,80.15
rcpsp:21,SOLVED,275.51,SOLVED,112.19,SOLVED,177.35,SOLVED,111.17,SOLVED,233.46
rcpsp:22,SOLVED,285.54,SOLVED,118.23,SOLVED,171.36,SOLVED,117.23,SOLVED,218.38
rcpsp:23,SOLVED,251.48,SOLVED,129.25,SOLVED,163.34,SOLVED,139.28,SOLVED,128.27
rcpsp:24,SOLVED,221.43,SOLVED,105.19,SOLVED,156.34,SOLVED,102.19,SOLVED,209.46
rcpsp:25,SOLVED,218.42,SOLVED,120.2,SOLVED,150.4,SOLVED,119.22,SOLVED,203.36
rcpsp:26,SOLVED,206.53,SOLVED,134.31,SOLVED,127.37,SOLVED,85.18,SOLVED,96.22
rcpsp:27,SOLVED,255.49,SOLVED,120.19,SOLVED,167.29,SOLVED,122.2,SOLVED,281.5
rcpsp:28,SOLVED,235.5,SOLVED,117.22,SOLVED,148.35,SOLVED,115.22,SOLVED,170.38
rcpsp:29,SOLVED,251.46,SOLVED,116.22,SOLVED,178.34,SOLVED,126.19,SOLVED,180.35
